Country,Code,Year,Precipitation mm per year
Greece,GRC,1997,652
Greece,GRC,2002,652
Greece,GRC,2007,652
Greece,GRC,2012,652
Greece,GRC,2014,652
Hungary,HUN,1962,589
Hungary,HUN,1967,589
Hungary,HUN,1972,589
Hungary,HUN,1977,589
Hungary,HUN,1982,589
Hungary,HUN,1987,589
Hungary,HUN,1992,589
Hungary,HUN,1997,589
Hungary,HUN,2002,589
Hungary,HUN,2007,589
Hungary,HUN,2012,589
Hungary,HUN,2014,589
Iceland,ISL,1962,1940
Iceland,ISL,1967,1940
Iceland,ISL,1972,1940
Iceland,ISL,1977,1940
Iceland,ISL,1982,1940
Iceland,ISL,1987,1940
Iceland,ISL,1992,1940
Iceland,ISL,1997,1940
Iceland,ISL,2002,1940
Iceland,ISL,2007,1940
Iceland,ISL,2012,1940
Iceland,ISL,2014,1940
Ireland,IRL,1962,1118
Ireland,IRL,1967,1118
Ireland,IRL,1972,1118
Ireland,IRL,1977,1118
Ireland,IRL,1982,1118
Ireland,IRL,1987,1118
Ireland,IRL,1992,1118
Ireland,IRL,1997,1118
Ireland,IRL,2002,1118
Ireland,IRL,2007,1118
Ireland,IRL,2012,1118
Ireland,IRL,2014,1118
Italy,ITA,1962,832
Italy,ITA,1967,832
Italy,ITA,1972,832
Italy,ITA,1977,832
Italy,ITA,1982,832
Italy,ITA,1987,832
Italy,ITA,1992,832
Italy,ITA,1997,832
Italy,ITA,2002,832
Italy,ITA,2007,832
Italy,ITA,2012,832
Italy,ITA,2014,832
Kazakhstan,KAZ,1992,250
Kazakhstan,KAZ,1997,250
Kazakhstan,KAZ,2002,250
Kazakhstan,KAZ,2007,250
Kazakhstan,KAZ,2012,250
Kazakhstan,KAZ,2014,250
Latvia,LVA,1992,641
Latvia,LVA,1997,641
Latvia,LVA,2002,641
Latvia,LVA,2007,641
Latvia,LVA,2012,641
Latvia,LVA,2014,641
Liechtenstein,LIE,1992,56
Liechtenstein,LIE,1997,56
Liechtenstein,LIE,2002,56
Liechtenstein,LIE,2007,56
Liechtenstein,LIE,2012,56
Lithuania,LTU,1992,656
Lithuania,LTU,1997,656
Lithuania,LTU,2002,656
Lithuania,LTU,2007,656
Lithuania,LTU,2012,656
Lithuania,LTU,2014,656
Luxembourg,LUX,1962,934
Luxembourg,LUX,1967,934
Luxembourg,LUX,1972,934
Luxembourg,LUX,1977,934
Luxembourg,LUX,1982,934
Luxembourg,LUX,1987,934
Luxembourg,LUX,1992,934
Luxembourg,LUX,1997,934
Luxembourg,LUX,2002,934
Luxembourg,LUX,2007,934
Luxembourg,LUX,2012,934
Luxembourg,LUX,2014,934
Macedonia,MKD,1992,619
Macedonia,MKD,1997,619
Macedonia,MKD,2002,619
Macedonia,MKD,2007,619
Macedonia,MKD,2012,619
Macedonia,MKD,2014,619
Malta,MLT,1962,560
Malta,MLT,1967,560
Malta,MLT,1972,560
Malta,MLT,1977,560
Malta,MLT,1982,560
Malta,MLT,1987,560
Malta,MLT,1992,560
Malta,MLT,1997,560
Malta,MLT,2002,560
Malta,MLT,2007,560
Malta,MLT,2012,560
Malta,MLT,2014,560
Moldova,MDA,1992,450
Moldova,MDA,1997,450
Moldova,MDA,2002,450
Moldova,MDA,2007,450
Moldova,MDA,2012,450
Moldova,MDA,2014,450
Montenegro,MNE,1992,241
Montenegro,MNE,1997,241
Montenegro,MNE,2002,241
Montenegro,MNE,2007,241
Montenegro,MNE,2012,241
Netherlands,NLD,1962,778
Netherlands,NLD,1967,778
Netherlands,NLD,1972,778
Netherlands,NLD,1977,778
Netherlands,NLD,1982,778
Netherlands,NLD,1987,778
Netherlands,NLD,1992,778
Netherlands,NLD,1997,778
Netherlands,NLD,2002,778
Netherlands,NLD,2007,778
Netherlands,NLD,2012,778
Netherlands,NLD,2014,778
Norway,NOR,1962,1414
Norway,NOR,1967,1414
Norway,NOR,1972,1414
Norway,NOR,1977,1414
Norway,NOR,1982,1414
Norway,NOR,1987,1414
Norway,NOR,1992,1414
Norway,NOR,1997,1414
Norway,NOR,2002,1414
Norway,NOR,2007,1414
Norway,NOR,2012,1414
Norway,NOR,2014,1414
Poland,POL,1962,600
Poland,POL,1967,600
Poland,POL,1972,600
Poland,POL,1977,600
Poland,POL,1982,600
Poland,POL,1987,600
Poland,POL,1992,600
Poland,POL,1997,600
Poland,POL,2002,600
Poland,POL,2007,600
Poland,POL,2012,600
Poland,POL,2014,600
Portugal,PRT,1962,854
Portugal,PRT,1967,854
Portugal,PRT,1972,854
Portugal,PRT,1977,854
Portugal,PRT,1982,854
Portugal,PRT,1987,854
Portugal,PRT,1992,854
Portugal,PRT,1997,854
Portugal,PRT,2002,854
Portugal,PRT,2007,854
Portugal,PRT,2012,854
Portugal,PRT,2014,854
Romania,ROU,1962,637
Romania,ROU,1967,637
Romania,ROU,1972,637
Romania,ROU,1977,637
Romania,ROU,1982,637
Romania,ROU,1987,637
Romania,ROU,1992,637
Romania,ROU,1997,637
Romania,ROU,2002,637
Romania,ROU,2007,637
Romania,ROU,2012,637
Romania,ROU,2014,637
Russia,RUS,1992,460
Russia,RUS,1997,460
Russia,RUS,2002,460
Russia,RUS,2007,460
Russia,RUS,2012,460
Russia,RUS,2014,460
Serbia,SRB,1992,686
Serbia,SRB,1997,686
Serbia,SRB,2002,686
Serbia,SRB,2007,686
Serbia,SRB,2012,686
Slovakia,SVK,1992,2497
Slovakia,SVK,1997,824
Slovakia,SVK,2002,824
Slovakia,SVK,2007,824
Slovakia,SVK,2012,824
Slovakia,SVK,2014,824
Slovenia,SVN,1992,1162
Slovenia,SVN,1997,1162
Slovenia,SVN,2002,1162
Slovenia,SVN,2007,1162
Slovenia,SVN,2012,1162
Slovenia,SVN,2014,1162
Spain,ESP,1962,636
Spain,ESP,1967,636
Spain,ESP,1972,636
Spain,ESP,1977,636
Spain,ESP,1982,636
Spain,ESP,1987,636
Spain,ESP,1992,636
Spain,ESP,1997,636
Spain,ESP,2002,636
Spain,ESP,2007,636
Spain,ESP,2012,636
Spain,ESP,2014,636
Sweden,SWE,1962,624
Sweden,SWE,1967,624
Sweden,SWE,1972,624
Sweden,SWE,1977,624
Sweden,SWE,1982,624
Sweden,SWE,1987,624
Sweden,SWE,1992,624
Sweden,SWE,1997,624
Sweden,SWE,2002,624
Sweden,SWE,2007,624
Sweden,SWE,2012,624
Sweden,SWE,2014,624
Switzerland,CHE,1962,1537
Switzerland,CHE,1967,1537
Switzerland,CHE,1972,1537
Switzerland,CHE,1977,1537
Switzerland,CHE,1982,1537
Switzerland,CHE,1987,1537
Switzerland,CHE,1992,1537
Switzerland,CHE,1997,1537
Switzerland,CHE,2002,1537
Switzerland,CHE,2007,1537
Switzerland,CHE,2012,1537
Switzerland,CHE,2014,1537
Turkey,TUR,1962,593
Turkey,TUR,1967,593
Turkey,TUR,1972,593
Turkey,TUR,1977,593
Turkey,TUR,1982,593
Turkey,TUR,1987,593
Turkey,TUR,1992,593
Turkey,TUR,1997,593
Turkey,TUR,2002,593
Turkey,TUR,2007,593
Turkey,TUR,2012,593
Turkey,TUR,2014,593
Ukraine,UKR,1992,565
Ukraine,UKR,1997,565
Ukraine,UKR,2002,565
Ukraine,UKR,2007,565
Ukraine,UKR,2012,565
Ukraine,UKR,2014,565
